City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kendari,ID,2022-04-15 08:31:19,-3.945,122.4989,83.86,72,61,4.97
68,Nanortalik,GL,2022-04-15 08:31:20,60.1432,-45.2371,25.75,80,100,17.94
69,Rikitea,PF,2022-04-15 08:31:20,-23.1203,-134.9692,77.25,72,4,16.53
70,Siderno,IT,2022-04-15 08:31:21,38.2779,16.302,71.33,60,99,6.51
71,Khatanga,RU,2022-04-15 08:31:21,71.9667,102.5,13.26,83,94,11.81
72,Gimli,CA,2022-04-15 08:31:21,50.6336,-96.9907,15.82,79,100,16.11
73,Tiksi,RU,2022-04-15 08:31:22,71.6872,128.8694,3.9,97,100,8.23
74,Prince Rupert,CA,2022-04-15 08:30:16,54.3161,-130.3201,40.69,69,0,9.22
75,Port Blair,IN,2022-04-15 08:31:22,11.6667,92.75,91.44,52,40,8.05
76,Saint George,US,2022-04-15 08:27:48,37.1041,-113.5841,55.8,28,0,3.44
77,Atuona,PF,2022-04-15 08:31:23,-9.8,-139.0333,78.66,78,20,14.72
78,Norman Wells,CA,2022-04-15 08:31:23,65.282,-126.8329,1.44,60,40,10.36
79,Gushikawa,JP,2022-04-15 08:31:23,26.3544,127.8686,71.6,96,100,13.8
80,Barrow,US,2022-04-15 08:31:24,71.2906,-156.7887,-0.38,78,0,19.57
81,Caravelas,BR,2022-04-15 08:31:24,-17.7125,-39.2481,74.75,95,92,4.79
82,Tasiilaq,GL,2022-04-15 08:31:25,65.6145,-37.6368,32.16,100,100,7.45
83,Nikolskoye,RU,2022-04-15 08:31:25,59.7035,30.7861,39.09,91,99,6.35
84,Mahebourg,MU,2022-04-15 08:31:25,-20.4081,57.7,83.25,65,40,14.97
85,Souillac,MU,2022-04-15 08:31:26,-20.5167,57.5167,82.78,65,40,14.97
86,Namatanai,PG,2022-04-15 08:31:26,-3.6667,152.4333,81.36,78,44,6.55
87,Qaanaaq,GL,2022-04-15 08:31:27,77.484,-69.3632,-6.9,92,100,2.26
88,Marsala,IT,2022-04-15 08:31:27,37.7966,12.4352,68.94,58,40,2.3
89,Waitati,NZ,2022-04-15 08:31:28,-45.75,170.5667,56.8,82,5,6.08
90,Naberera,TZ,2022-04-15 08:31:28,-4.2,36.9333,75.15,56,100,8.12
91,Bouna,CI,2022-04-15 08:31:28,9.2667,-3.0,82.63,60,99,6.76
92,Cairns,AU,2022-04-15 08:27:57,-16.9167,145.7667,78.06,89,100,9.22
93,Diebougou,BF,2022-04-15 08:32:29,10.9667,-3.25,89.67,44,100,9.8
94,Luang Prabang,LA,2022-04-15 08:32:29,19.8856,102.1347,94.96,46,20,4.61
95,Mango,US,2022-04-15 08:32:30,27.9797,-82.3065,72.21,93,0,0.0
96,Henties Bay,NA,2022-04-15 08:32:30,-22.116,14.2845,62.8,79,17,6.62
97,Cabo San Lucas,MX,2022-04-15 08:32:12,22.8909,-109.9124,71.51,55,99,10.78
98,Kruisfontein,ZA,2022-04-15 08:32:30,-34.0033,24.7314,59.88,71,90,20.04
99,Lesnoy,RU,2022-04-15 08:32:31,57.6198,63.0784,55.98,89,100,8.77
100,Makat,KZ,2022-04-15 08:32:31,47.6469,53.3463,62.37,31,5,13.0
101,Mar Del Plata,AR,2022-04-15 08:32:32,-38.0023,-57.5575,51.87,84,0,5.99
102,Lazurne,UA,2022-04-15 08:32:32,46.084,32.5295,53.24,71,23,7.23
103,Jamestown,US,2022-04-15 08:32:32,42.097,-79.2353,44.24,56,75,13.8
104,Cape Town,ZA,2022-04-15 08:29:05,-33.9258,18.4232,66.11,56,20,18.41
105,Horodyshche,UA,2022-04-15 08:32:33,49.2849,31.4451,58.46,44,91,6.53
106,Ancud,CL,2022-04-15 08:31:51,-41.8697,-73.8203,48.22,93,31,2.37
107,San Lazaro,BZ,2022-04-15 08:32:33,18.0387,-88.6622,73.36,95,66,4.36
108,Betare Oya,CM,2022-04-15 08:32:34,5.6,14.0833,84.54,52,98,4.27
109,Ribeira Grande,PT,2022-04-15 08:32:34,38.5167,-28.7,59.4,82,40,14.97
110,Puerto Del Rosario,ES,2022-04-15 08:32:34,28.5004,-13.8627,65.95,72,20,14.97
111,Vila Franca Do Campo,PT,2022-04-15 08:32:35,37.7167,-25.4333,63.01,84,67,11.39
112,Port Elizabeth,ZA,2022-04-15 08:28:44,-33.918,25.5701,62.1,94,100,14.97
113,Klaksvik,FO,2022-04-15 08:32:35,62.2266,-6.589,49.12,99,100,15.82
114,Iqaluit,CA,2022-04-15 08:29:49,63.7506,-68.5145,-4.27,71,0,16.11
115,Hobart,AU,2022-04-15 08:30:03,-42.8794,147.3294,61.02,76,75,16.11
116,Hithadhoo,MV,2022-04-15 08:32:36,-0.6,73.0833,83.53,66,28,2.33
117,Banda Aceh,ID,2022-04-15 08:32:36,5.5577,95.3222,85.93,67,91,7.34
118,Prado,BR,2022-04-15 08:32:37,-17.3411,-39.2208,76.51,90,89,7.81
119,Almenara,BR,2022-04-15 08:32:37,-16.1836,-40.6944,73.74,85,90,0.78
120,Bereda,ES,2022-04-15 08:32:38,43.2686,-7.5406,53.42,100,4,2.33
121,Roebourne,AU,2022-04-15 08:31:04,-20.7833,117.1333,89.67,56,28,10.65
122,Dalvik,IS,2022-04-15 08:32:38,65.9702,-18.5286,48.13,78,67,11.07
123,Hofn,IS,2022-04-15 08:32:38,64.2539,-15.2082,45.34,91,68,15.66
124,Rawson,AR,2022-04-15 08:32:39,-43.3002,-65.1023,62.06,38,0,25.1
125,Lebu,CL,2022-04-15 08:32:39,-37.6167,-73.65,52.03,89,89,8.3
126,Nha Trang,VN,2022-04-15 08:30:09,12.25,109.1833,84.2,81,50,3.83
127,Saryozek,KZ,2022-04-15 08:32:40,44.3583,77.9753,73.72,16,1,7.58
128,Paracuru,BR,2022-04-15 08:32:40,-3.41,-39.0306,78.12,92,87,4.59
129,Palana,RU,2022-04-15 08:32:40,59.1167,159.9667,21.96,96,100,8.12
130,Lormi,IN,2022-04-15 08:32:41,22.2833,81.7333,109.63,6,98,11.39
131,Kapaa,US,2022-04-15 08:32:41,22.0752,-159.319,74.12,80,0,19.57
132,Sile,TR,2022-04-15 08:32:41,41.1754,29.6133,65.07,57,0,5.01
133,Naze,JP,2022-04-15 08:32:42,28.3667,129.4833,68.92,85,81,19.17
134,Kaseda,JP,2022-04-15 08:32:42,31.4167,130.3167,65.17,75,9,17.4
135,Szczytno,PL,2022-04-15 08:31:15,53.5626,20.9875,49.93,93,100,6.91
136,Santa Marinella,IT,2022-04-15 08:33:43,42.0345,11.8536,68.29,61,100,1.59
137,Margate,GB,2022-04-15 08:30:41,51.3813,1.3862,59.88,83,100,4.0
138,Chernyshevskiy,RU,2022-04-15 08:33:43,63.0128,112.4714,22.1,79,100,10.31
139,Portland,US,2022-04-15 08:29:44,45.5234,-122.6762,38.1,94,75,4.61
140,Turukhansk,RU,2022-04-15 08:33:44,65.8167,87.9833,34.09,100,100,12.86
141,Sayat,TM,2022-04-15 08:33:44,38.7839,63.8803,89.47,12,9,3.09
142,Raudeberg,NO,2022-04-15 08:33:44,61.9875,5.1352,50.67,61,83,8.34
143,Bengkulu,ID,2022-04-15 08:33:45,-3.8004,102.2655,83.01,75,56,5.1
144,Mehamn,NO,2022-04-15 08:33:45,71.0357,27.8492,33.64,92,88,9.98
145,Virginia Beach,US,2022-04-15 08:31:15,36.8529,-75.978,59.02,61,100,3.0
146,Garowe,SO,2022-04-15 08:33:46,8.4054,48.4845,92.73,27,100,6.76
147,Khandyga,RU,2022-04-15 08:33:46,62.6667,135.6,25.43,89,18,2.86
148,Hegang,CN,2022-04-15 08:33:46,47.4,130.3667,52.38,24,100,8.99
149,Leningradskiy,RU,2022-04-15 08:33:47,69.3833,178.4167,17.96,95,100,10.6
150,Huangmei,CN,2022-04-15 08:33:47,30.1924,116.025,57.06,66,100,10.38
151,Port Said,EG,2022-04-15 08:33:47,31.2565,32.2841,64.38,68,0,11.5
152,Sakakah,SA,2022-04-15 08:33:48,29.9697,40.2064,76.57,14,0,11.07
153,Kemijarvi,FI,2022-04-15 08:33:48,66.7131,27.4306,37.11,54,25,8.25
154,Gigmoto,PH,2022-04-15 08:33:49,13.7796,124.39,81.45,77,48,5.21
155,Kiri Buru,IN,2022-04-15 08:33:49,22.0833,85.35,105.8,11,92,10.2
156,Paducah,US,2022-04-15 08:30:16,37.0834,-88.6001,52.02,57,0,3.44
157,Rio Gallegos,AR,2022-04-15 08:33:50,-51.6226,-69.2181,42.85,93,20,1.14
158,Chimbote,PE,2022-04-15 08:33:50,-9.0853,-78.5783,65.01,92,90,5.12
159,Zhangye,CN,2022-04-15 08:33:50,38.9342,100.4517,66.07,18,100,7.18
160,Viedma,AR,2022-04-15 08:33:51,-40.8135,-62.9967,53.76,66,0,14.41
161,Nizwa,OM,2022-04-15 08:33:51,22.9333,57.5333,102.38,10,19,13.76
162,Walvis Bay,NA,2022-04-15 08:33:52,-22.9575,14.5053,59.95,82,0,6.91
163,Rundu,NA,2022-04-15 08:33:52,-17.9333,19.7667,83.75,44,0,3.0
164,Richards Bay,ZA,2022-04-15 08:33:34,-28.783,32.0377,82.2,58,5,2.21
165,Buraydah,SA,2022-04-15 08:30:38,26.326,43.975,86.45,14,8,12.12
166,Georgetown,MY,2022-04-15 08:33:53,5.4112,100.3354,89.53,73,40,8.05
167,Minab,IR,2022-04-15 08:33:53,27.1467,57.0801,100.72,19,3,6.91
168,Porto Novo,BJ,2022-04-15 08:33:53,6.4965,2.6036,80.42,64,100,7.07
169,Deputatskiy,RU,2022-04-15 08:33:54,69.3,139.9,2.8,90,100,1.63
170,Laplace,US,2022-04-15 08:33:54,30.0666,-90.4801,71.98,85,100,3.44
171,Pevek,RU,2022-04-15 08:33:55,69.7008,170.3133,12.76,90,24,4.61
172,Warmbad,NA,2022-04-15 08:33:55,-28.45,18.7333,62.44,35,76,5.91
173,Kirillov,RU,2022-04-15 08:33:55,59.863,38.3813,41.25,70,94,5.08
174,Kodiak,US,2022-04-15 08:33:56,57.79,-152.4072,38.71,70,100,17.27
175,Kvarkeno,RU,2022-04-15 08:33:56,52.0833,59.725,55.72,44,100,12.1
176,Yulara,AU,2022-04-15 08:33:57,-25.2406,130.9889,96.64,14,40,3.44
177,Sao Filipe,CV,2022-04-15 08:33:57,14.8961,-24.4956,70.27,76,3,7.54
178,Belyy Yar,RU,2022-04-15 08:33:57,53.6039,91.3903,62.49,11,0,8.95
179,Pacific Grove,US,2022-04-15 08:33:10,36.6177,-121.9166,55.51,89,100,8.01
180,Paragominas,BR,2022-04-15 08:29:09,-2.9667,-47.4833,71.24,99,90,2.08
181,Riberalta,BO,2022-04-15 08:33:58,-10.9833,-66.1,70.32,98,100,4.63
182,Jiayuguan,CN,2022-04-15 08:34:58,39.8167,98.3,63.59,9,86,14.76
183,Hambantota,LK,2022-04-15 08:34:59,6.1241,81.1185,89.94,79,40,9.22
184,Amapa,BR,2022-04-15 08:34:59,1.0,-52.0,71.91,99,100,2.59
185,Kalangala,UG,2022-04-15 08:34:59,-0.3089,32.225,69.69,85,100,13.53
186,Russell,US,2022-04-15 08:32:52,32.3502,-85.1999,53.2,93,0,0.0
187,Mana,GF,2022-04-15 08:35:00,5.6592,-53.7767,76.35,88,99,8.84
188,Cherskiy,RU,2022-04-15 08:35:00,68.75,161.3,11.41,98,77,5.32
189,Clarence Town,AU,2022-04-15 08:35:01,-32.5833,151.7833,69.85,91,68,2.77
190,Zhucheng,CN,2022-04-15 08:35:01,35.9947,119.3975,55.87,30,100,15.5
191,Ifanadiana,MG,2022-04-15 08:35:01,-21.3,47.6333,81.12,62,86,4.74
192,Hamadan,IR,2022-04-15 08:35:02,34.7992,48.5146,58.08,63,40,4.61
193,Punto Fijo,VE,2022-04-15 08:35:02,11.6956,-70.1996,77.32,84,21,24.96
194,Vuktyl,RU,2022-04-15 08:35:03,63.8567,57.3094,31.6,70,100,10.69
195,Port Moresby,PG,2022-04-15 08:35:03,-9.4431,147.1797,79.72,85,24,8.46
196,Ushtobe,KZ,2022-04-15 08:35:03,45.2514,77.9838,79.02,13,0,15.12
197,Poum,NC,2022-04-15 08:35:04,-20.2333,164.0167,75.33,87,95,10.94
198,Colac,AU,2022-04-15 08:35:04,-38.3333,143.5833,62.83,91,71,4.79
199,Yurimaguas,PE,2022-04-15 08:35:04,-5.9,-76.0833,70.99,99,75,1.03
200,Clyde River,CA,2022-04-15 08:35:05,70.4692,-68.5914,-14.57,76,0,3.44
201,Hami,CN,2022-04-15 08:35:05,42.8,93.45,55.13,24,55,20.85
202,Alekseyevsk,RU,2022-04-15 08:35:06,57.8406,108.3492,39.72,69,100,6.13
203,Traverse City,US,2022-04-15 08:30:27,44.7631,-85.6206,37.47,53,75,13.8
204,Chuy,UY,2022-04-15 08:35:06,-33.6971,-53.4616,59.29,74,90,6.87
205,Dongying,CN,2022-04-15 08:35:06,37.4564,118.4856,60.24,12,100,6.91
