City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Teya,RU,60.3778,92.6267,37.89,98,100,4.61,overcast clouds
80,Dire,ML,12.2833,-10.9667,84.45,21,86,2.57,overcast clouds
81,Ayagoz,KZ,47.9714,80.4392,52.3,21,0,7.87,clear sky
82,Hervey Bay,AU,-25.2986,152.8535,74.89,55,43,17.54,scattered clouds
83,Anito,PH,12.4497,125.2886,85.48,61,25,4.85,scattered clouds
84,Amapa,BR,1.0,-52.0,70.93,99,100,1.63,overcast clouds
85,Dikson,RU,73.5069,80.5464,16.74,92,100,8.66,light snow
86,Shingu,JP,33.7333,135.9833,63.63,34,89,3.09,overcast clouds
87,Saint-Philippe,RE,-21.3585,55.7679,73.22,85,51,15.9,light rain
88,Hobyo,SO,5.3505,48.5268,81.32,77,63,6.67,broken clouds
89,Port Said,EG,31.2565,32.2841,58.98,94,0,8.05,clear sky
90,Jiehu,CN,35.5428,118.455,64.33,17,80,1.03,broken clouds
91,Robertsport,LR,6.7533,-11.3686,78.67,90,88,6.4,overcast clouds
92,Inuvik,CA,68.3499,-133.7218,2.16,58,0,12.66,clear sky
93,Bluff,NZ,-46.6,168.3333,55.8,64,15,32.64,few clouds
94,Motala,SE,58.5371,15.0365,35.37,83,95,5.1,overcast clouds
95,Broken Hill,AU,-31.95,141.4333,78.51,25,0,9.22,clear sky
96,Taltal,CL,-25.4,-70.4833,59.83,82,0,1.81,clear sky
97,Nueva Loja,EC,0.0847,-76.8828,71.01,99,97,1.34,overcast clouds
98,Mahanoro,MG,-19.9,48.8,75.25,88,87,2.91,light rain
99,Kodiak,US,57.79,-152.4072,38.71,87,100,16.11,light rain
100,Oistins,BB,13.0667,-59.5333,78.89,78,20,21.85,few clouds
101,Georgetown,MY,5.4112,100.3354,85.98,78,20,5.75,few clouds
102,Mount Gambier,AU,-37.8333,140.7667,67.91,77,40,2.3,scattered clouds
103,Salalah,OM,17.0151,54.0924,77.09,78,0,3.44,clear sky
104,Parana,AR,-31.732,-60.5238,56.55,93,0,7.43,clear sky
105,Marrakesh,MA,31.6315,-8.0083,62.67,51,0,5.75,clear sky
